added,ccode,homebranch,location
19,DVD,WINCHESTER,ADULT
1,DVD,WINCHESTER,CHILDRENS
3,FICTION,WINCHESTER,ADULT
2,FICTION,WINCHESTER,CHILDRENS
2,FICTION,WINCHESTER,YOUNGADULT
1,GRAPHIC,WINCHESTER,CHILDRENS
1,GRAPHIC,WINCHESTER,YOUNGADULT
3,INSPRATION,WINCHESTER,ADULT
1,LARGEPRINT,WINCHESTER,
1,LARGEPRINT,WINCHESTER,ADULT
1,NONFICTION,WINCHESTER,ADULT
1,PAPERBACK,WINCHESTER,ADULT
